0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1515.8435,2675.328375,614.726625,870.7315,1201.6855,458.926,996.575375,613.464875,828.02675,1711.684625,3007.215375,2383.029125,3059.310625,2798.398,1218.30575,2246.532375,1843.570125,3496.92525,4503.107375,4750.759125,5221.1355,6747.860375,7007.936125,7278.46875
2537.72575,1518.722375,1094.1555,655.00025,123.16675,220.465875,1187.33075,473.680375,734.441875,885.60075,1615.559625,998.003875,1452.507375,883.5485,1036.820375,1735.387375,1527.62425,1325.741,1124.191,1633.603125,1332.635,593.90225,1424.28975,611.96325
336.818125,916.380875,130.352,708.374625,131.965875,276.66825,567.59125,151.337125,231.0935,967.119375,1001.550125,624.74475,1136.42725,802.587625,746.559375,1459.33,2103.254875,2351.16225,3887.62375,4007.169375,3407.961625,3974.832625,3046.49,3097.99825
698.228875,677.721,284.19925,351.307625,3140.655625,792.01025,437.843,200.94825,403.60475,1183.63075,1648.140625,2044.189125,1727.78125,2490.5445,2875.09125,4246.06325,7027.245125,6402.1045,3487.398125,1696.04125,2659.34875,4103.346875,3309.66175,2265.410125
4821.98525,4216.432125,1991.902875,1751.906875,2253.004375,1670.2625,1418.5005,1388.828625,2154.14125,2455.606875,2194.336125,4865.93925,2737.968,1492.82775,2342.9685,1504.03925,1599.76975,1539.211875,2747.38325,4188.885,6395.67475,5320.77175,5963.767125,4819.31725
2620.52025,1609.443875,272.18,790.633375,828.902,375.269,793.087375,677.444125,2130.389625,5320.751375,5308.889125,3178.33875,1724.363875,1243.03875,1962.290625,2946.686,2616.14375,2509.002,2595.509625,3726.155625,5913.645625,2878.416125,2000.607,2424.41725
1392.878,1616.707625,1587.920375,1310.16675,676.841625,203.061625,415.99625,457.17275,1075.450375,2434.721375,3906.614875,4071.1945,3057.007125,4173.3665,4442.1555,4519.04975,3365.47325,4262.342875,6831.21725,4467.290875,2356.354,2849.216125,2779.838375,6764.5155
3975.0955,3564.140375,1702.502875,340.378125,952.11675,412.6555,389.9515,201.78825,770.6565,1187.03875,2109.761,2091.0665,1573.76125,1303.0555,1632.24225,4122.872375,2683.671,2190.596875,4195.714375,4940.144625,4243.632125,3743.29625,3765.255125,3564.7115
2404.34825,491.169375,1303.482,1183.876125,645.749625,502.88375,893.74675,1119.995125,1242.985375,1553.18075,1998.97025,3082.93225,3854.034125,1830.10325,2519.98825,1785.776625,2103.69875,3318.016125,1933.7515,1632.878,1567.215875,2094.699375,2649.463375,2464.048875
5670.8345,3129.96275,1137.713625,1438.3175,1048.274,317.90975,449.822625,392.61475,771.647,1357.105,2676.520625,2333.2745,2100.363625,2032.139125,2397.7475,3422.15975,3639.833875,3091.756,2506.2905,4528.821375,2570.594375,2848.397375,4187.814375,3424.05275
1238.593875,2512.55,1937.740625,1388.269125,1531.392875,1797.29575,828.97325,1229.716125,2045.298375,3552.10225,3086.509375,3694.824875,3520.079,3715.936875,2850.747125,3085.51875,3783.261375,3720.085,3836.589,2582.86125,2806.379875,4357.872125,5319.788875,5497.512
5337.282375,8640.4175,4569.986875,2046.7,2146.224625,532.135,729.119375,2351.62975,1826.528625,2032.420125,2228.542625,2483.1515,1294.235625,4373.39,5134.450375,3056.703875,3752.7495,4514.66975,2471.706875,3634.108,3579.74425,3885.1835,3918.32325,1486.282875
6444.781125,3096.280125,1152.375125,367.732375,341.885125,335.0645,1244.381,1239.281375,1600.783125,1689.98625,2990.52875,3093.464875,4590.0275,3826.453625,1757.013125,2532.209375,3652.064625,2950.9195,3315.334375,2384.640625,4013.025,4539.961875,3976.212875,4762.900875
4498.034,1688.995125,4006.928875,2388.208375,277.94275,566.594625,344.940875,145.05575,477.970625,1700.2205,1120.935625,1021.12475,1465.026,1899.9475,2641.689625,2792.47125,2438.921125,3816.35675,4921.839625,3245.374,3337.552375,1827.653,1936.36125,4564.574
1784.8155,1401.83225,507.482375,404.51125,347.870625,515.075875,358.092125,1443.8845,1257.572375,2636.701625,5220.610125,3333.565,4595.99025,2062.643125,1297.455125,2389.552875,4485.735375,1980.468625,3505.30575,1794.03925,1990.63125,1526.9655,2055.871625,2322.937375
2160.042,5791.46025,1148.7855,1519.511625,868.33675,747.884375,1351.374875,730.886125,1336.774,2296.351,2654.228375,2326.872875,2780.237125,1652.304875,1329.93975,2466.245375,2644.51425,2536.898875,2204.07075,2601.19775,1256.7415,1132.17475,3440.054375,3915.894625
832.65375,962.369625,663.922375,525.09625,146.037125,241.53175,819.793125,568.848375,1198.0395,2867.264125,2137.143,1755.350125,1498.560625,3356.727625,4567.184,6776.47375,2500.469375,2544.66325,2764.330875,2367.843375,3270.390625,1631.24125,1552.9245,1310.739625
2376.070125,1209.428625,931.55025,397.295625,1015.401875,737.124125,246.39475,761.682875,1121.445,1296.00275,1892.112,2092.442125,1470.925625,3164.044125,2433.290125,2788.700375,3087.58175,4730.447,2957.1415,3224.228625,1333.74575,1246.128625,1402.442625,943.031625
3093.323875,1751.6705,795.463125,338.1735,472.24475,334.526375,423.871,2109.26025,1080.23775,2381.99825,2033.01075,1658.420375,2178.15325,2803.24175,4438.737875,2114.7585,2051.43,3237.67525,4992.618375,5187.960375,1528.202125,1373.96175,3003.10325,1996.670875
2061.068,1552.728625,749.73975,1107.819875,895.299,580.69625,782.078125,542.125125,740.85925,1993.35725,2054.812625,3328.501,3241.075,2664.072375,5695.58175,4658.885625,3814.859,4783.83475,4450.3305,2196.144,1125.1735,1436.90525,1733.538625,1429.921
7030.043875,8402.682625,3781.599,1470.977125,1223.015,1294.045,694.858625,585.60325,1061.07425,1788.6315,2357.1035,2567.7305,2890.95675,1759.831625,4863.811,4303.27475,2129.3925,2427.9955,2893.495375,3592.81275,3177.768875,1646.07825,3016.344125,4689.5125
4801.427625,5669.697625,2605.953125,4184.463125,5892.296,2742.78975,1288.03675,227.13175,1752.757,886.935625,2117.499875,2125.02275,1317.253125,2865.799875,3468.886125,3653.739875,4472.2455,5227.824,5005.221375,4321.026625,4106.013875,2175.620125,1650.186875,3110.853125
3529.567125,3999.3125,3540.715875,780.361375,807.7525,706.745125,682.295875,463.1905,1271.076875,2519.824375,3865.382125,3253.181,3966.3065,3731.775625,3313.779875,4442.710375,2804.19025,2531.737375,2203.313125,2424.26725,3051.848125,3135.848,5524.36925,6242.25375
3848.30025,3774.64575,2828.602125,3407.726,1457.498375,489.131375,814.454,879.06025,1082.297125,4473.025,3960.77725,2606.05075,3147.065375,3172.245,2639.49625,2255.554125,3663.824875,4361.19325,5523.779125,4997.22825,4097.82375,2702.8265,4643.778,5664.232875
5769.56375,2883.183875,272.867,2711.73875,1493.4035,1545.989,1808.538,1706.110375,940.993,2228.37725,2656.610375,2717.745375,2223.574125,2761.29,5232.803375,3549.117125,4348.98925,3626.575625,2435.323375,1770.13525,1421.31125,1388.382375,1399.806875,2061.62025
5638.775375,4854.7735,1459.545625,2072.488625,3323.413,2181.423125,2316.1835,1452.501625,1743.5175,2230.0905,2205.96725,2350.498625,3634.737875,2258.152,1916.125875,2866.46375,3078.870125,3985.856875,1580.983125,1853.488,941.0275,2773.747375,1405.028375,1958.08
1577.092375,1850.15725,1783.0475,252.728,225.517125,814.406625,519.156625,721.0155,1096.973375,4129.53475,2711.2665,2873.12725,3193.323875,1945.242375,2298.7535,2923.946875,2689.469625,2252.734,3817.58925,1760.143625,2596.45025,3126.561875,2869.261625,2956.35525
3650.353375,3041.626125,2078.041125,2623.40475,1953.087125,1261.860375,780.638875,857.746,362.36875,945.56725,1311.1995,3676.55025,3408.317625,1664.119375,2036.260125,3006.63125,3856.857625,2831.9945,3680.629,1811.611625,2865.630875,2268.827875,2492.920625,1593.265625
1667.637625,2467.850125,605.88475,1060.1245,194.662875,1410.32525,1005.630625,1744.01,1439.090125,1468.4675,3017.568625,2726.605875,3218.878625,3562.608625,3292.23775,4363.614,4185.975,3318.5835,4143.47175,2470.348375,1510.2935,3084.000125,2075.96825,2955.093875
2452.8925,3130.4925,2480.49125,906.072,1573.07925,2074.2245,2524.081875,1141.75975,1399.778625,2510.11875,2113.239375,2359.515125,3193.915125,2026.5585,2502.6055,1546.007,3195.970375,5459.20925,4487.6215,2596.56375,2750.329875,2043.582125,2162.43525,2256.4385
3803.312375,2775.979,253.902875,92.724625,75.66025,128.673375,208.078875,730.98,466.081375,1775.966375,1921.69425,1785.08325,1311.44125,880.56575,1001.66225,1388.6345,1456.074625,2348.78725,2594.736125,2958.2495,3462.855875,5503.882,4514.855625,3366.045875
1044.090625,2570.085,2948.11375,1606.172875,252.20275,335.853625,370.604375,666.55675,1781.99275,698.746625,845.254375,1413.545625,879.8505,996.682125,1188.063625,2849.756875,4732.044625,4417.01625,4897.737625,7264.809875,7907.236,9244.553125,3963.759125,2781.26225
3144.1874843749997,2951.3821015625,1600.6835624999999,1282.906015625,1172.3932929687498,831.3596328125001,865.37568359375,874.2284453125,1169.5608242187502,2098.6915390625,2499.0485625,2528.5964531249997,2545.1079765625,2381.0388203125,2721.085734375,3056.21459375,3166.742984375,3377.8870273437487,3515.479847656249,3206.588453125001,3056.19917578125,3037.7092656250006,3131.0143203125,3268.1369453125008
